gloss_input,english_input,filipino_output,origin,context_tag
YOU NO SAD,You are not sad.,Hindi ka malungkot.,FSL,emotion
LISTEN ME,Listen to me.,Makinig ka sa akin.,FSL,imperative
YOU MEET FATHER,You're meeting your father.,Nakikita mo ang iyong ama.,FSL,people
WE VERY EXCITED,We're very excited.,Napakasabik natin.,FSL,emotion
YOU READ,You are reading.,Nagbabasa ka.,FSL,common_verbs
YOU REMEMBER,You remember.,Naaalala mo.,FSL,neutral
NIGHT,Night.,Gabi.,MIXED,time
YOU BUSY,You are busy.,Abala ka.,FSL,neutral
WE RUN,We run.,Tumatakbo tayo.,FSL,action
STAY HERE,Stay here.,Manatili ka dito.,FSL,imperative
I FINISH PLAY,I'm done playing.,Natapos akong maglaro.,FSL,action
I HAVE MANY BOOK,I have a lot of books.,Mayroon akong maraming libro.,FSL,number
WHERE YOU GO TODAY,Where are you going today?,Saan ka pupunta ngayon?,FSL,question
I HAVE FOUR,I have four.,Mayroon akong apat.,FSL,number
I AT HOME,I am at home.,Nasa bahay ako.,FSL,place
YOUR FATHER KIND,Your father is kind.,Mabait ang iyong ama.,ASL,people
WE GO HOME,We go home.,Uuwi tayo.,FSL,place
BOOK TWO YOU READ,You've read two books.,Nagbabasa ka ng dalawang libro.,ASL,number
THEY ANGRY,You're angry.,Galit sila.,FSL,emotion
I HOPE HE HELP,I hope he'll help.,Umaasa akong tutulong siya.,FSL,neutral
YOU USE PHONE,You're using a phone.,Gumagamit ka ng telepono.,FSL,object_things
YOU ANSWER,You answer.,Sumasagot ka.,FSL,neutral
PHONE HE LIKE,He likes phones.,Gusto niya ng telepono.,ASL,object_things
YOU MEAN IT,You mean it.,Seryoso ka.,FSL,neutral
HE BUSY,He's busy.,Abala siya.,FSL,neutral
I ALREADY EAT,I already ate.,Kumain na ako.,FSL,time
YOU SEE HOUSE,You see a house.,Nakikita mo ang bahay.,FSL,object_things
TOMORROW THEY PLAY,They're playing tomorrow.,Bukas maglalaro sila.,FSL,time
WHAT TIME HE WAKE,What time does he wake up?,Anong oras siya gumigising?,FSL,question
HE VERY ANGRY,He is very angry.,Napakagalit niya.,FSL,emotion
HE GO TODAY MORNING,He goes this morning.,Pumupunta siya ngayong umaga.,FSL,time
YOU WANT SMALL HOUSE,You want a small house.,Gusto mo ng maliit na bahay.,FSL,place
YOU EAT WHAT FOOD,What kind of food are you eating?,Anong pagkain ang kinakain mo?,ASL,question
ORANGE FOOD,Orange food.,Kahel na pagkain.,MIXED,color
I FEEL SICK,I feel sick.,Masama ang pakiramdam ko.,FSL,neutral
HE HELP FRIEND READ BOOK,He helps his friend read a book.,Tinutulungan niya ang kanyang kaibigan magbasa ng libro.,FSL,people
I WALK,I'm running.,Naglalakad ako.,FSL,action
NIGHT THEY SLEEP,At night they sleep.,Natutulog sila sa gabi.,ASL,common_verbs
YOU SAD ME,You're sad about me.,Malungkot ka tungkol sa akin.,FSL,emotion
HE MEET FRIEND,He's meeting his friend.,Nakikita niya ang kanyang kaibigan.,FSL,people
FORGET THIS,Forget it.,Kalimutan mo ito.,FSL,imperative
EIGHT,Eight.,Walo.,MIXED,number
FATHER YOU CALL,You call your father.,Tumatawag ka sa iyong ama.,ASL,people
I COME HOME,I come home.,Uuwi ako.,FSL,place
FOOD WE WANT,We want food.,Gusto natin ng pagkain.,ASL,object_things
I PLAY HAPPY,I play happily.,Naglalaro akong masaya.,FSL,action
I HAVE EIGHT,I've got eight.,Mayroon akong walo.,FSL,number
SHE LOVE HER FRIEND,She loves her friend.,Mahal niya ang kanyang kaibigan.,FSL,people
WE LIKE GREEN,We like green.,Gusto natin ng berde.,FSL,color
STOP THEY,You should stop.,Dapat silang tumigil.,ASL,imperative
HE MISS YOU,He misses you.,Miss ka niya.,FSL,neutral
YOU SOMETIMES SAD,You are sometimes sad.,Minsan malungkot ka.,FSL,emotion
WHO THEY VISIT,Who do they visit?,Sino ang binibisita nila?,FSL,question
YOU LEARN,You're learning.,Natututo ka.,FSL,neutral
I RECEIVE,I'm picking up.,Tumatanggap ako.,FSL,neutral
I DRIVE CAR HOME,I drive the car home.,Nagmamaneho ako ng kotse pauwi.,FSL,neutral
WHO FRIEND YOU MEET,Which friend are you meeting?,Alin kaibigan ang makikita mo?,FSL,question
TOMORROW MORNING WE EAT,Tomorrow morning we eat.,Bukas ng umaga kakain tayo.,ASL,time
WORK HE WRITE,He writes at work.,Sumusulat siya sa trabaho.,ASL,action
HELLO FAMILY,Hello family.,Kamusta pamilya.,FSL,greeting
I ACCEPT IT,I accept it.,Tinatanggap ko ito.,FSL,neutral
I SAD,I am sad.,Malungkot ako.,FSL,emotion
HE SHOULD STUDY SCHOOL,He should learn at school.,Dapat siyang mag-aral sa paaralan.,FSL,place
YOU LEARN,You learn.,Natututo ka.,FSL,neutral
HE FINISH,He's done.,Natapos siya.,FSL,neutral
HE WALK HOME,He's going home.,Naglalakad siya pauwi.,FSL,place
WE LIKE READ,We like reading.,Gusto nating magbasa.,FSL,action
YOU WORK WHEN,When do you work?,Kailan ka nagtatrabaho?,ASL,question
THEY GO FARM,They're going to the farm.,Pupunta sila sa bukid.,FSL,place
YOU HAVE IDEA,You have an idea.,Mayroon kang ideya.,FSL,neutral
I TURN ON PHONE,I'll turn on the phone.,Binubukas ko ang telepono.,FSL,neutral
I EMAIL YOU,I email you.,Nag-email ako sa iyo.,FSL,neutral
YOU TELL,You tell.,Sinasabi mo.,FSL,neutral
YOU WRITE BOOK,You write a book.,Sumusulat ka ng libro.,FSL,object_things
CAR BLUE YOU HAVE,You have a blue car.,Mayroon kang asul na kotse.,ASL,color
TODAY MORNING I GO,This morning I go.,Ngayong umaga pupunta ako.,ASL,time
YOU FEEL COLD,You're feeling cold.,Ginginaw ka.,FSL,neutral
I WALK SCHOOL,I walk to school.,Naglalakad ako papuntang paaralan.,FSL,place
YOU ALREADY FINISH,You're done.,Natapos mo na.,FSL,time
BLUE,Blue.,Asul.,MIXED,color
WE MISS THEY,We miss her.,Miss natin sila.,FSL,people
YESTERDAY THEY RUN,Yesterday they ran away.,Kahapon tumakbo sila.,FSL,time
YOU COME WITH FATHER,You come with your father.,Dumarating ka kasama ang iyong ama.,FSL,people
WHAT YOU EAT,What are you eating?,Ano ang kinakain mo?,FSL,question
SHE TAKE,She takes.,Kumukunha siya.,FSL,neutral
BRING THIS,Bring this with you.,Dalhin mo ito.,FSL,imperative
WHEN YOU SLEEP,When are you going to sleep?,Kailan ka natutulog?,FSL,question
HE BRING,He brings.,Dala niya.,FSL,neutral
YOU PLAN,You plan.,Nagpaplano ka.,FSL,neutral
THEY WALK,They walk.,Naglalakad sila.,FSL,action
I SLEEP TOMORROW NIGHT,I'm gonna sleep tomorrow night.,Matutulog ako bukas ng gabi.,FSL,time
YOU SAD,You are sad.,Malungkot ka.,FSL,emotion
YOU PRACTICE RUN,You practice running.,Nagsasanay kang tumakbo.,FSL,action
I RUN YESTERDAY,I ran away yesterday.,Tumakbo ako kahapon.,FSL,action
I NEED FOOD,I need food.,Kailangan ko ng pagkain.,FSL,object_things
MORNING YOU WORK,In the morning you work.,Sa umaga nagtatrabaho ka.,FSL,time
I BRING,I bring.,Dala ko.,FSL,neutral
I WRITE BOOK,I write a book.,Sumusulat ako ng libro.,FSL,object_things
YOU FINISH WRITE,You finish writing.,Natapos kang sumulat.,FSL,action
I GO HOME,I am going home.,Uuwi ako.,FSL,common_verbs
YOU,You.,Ikaw.,MIXED,people
YOU SUPPORT ME,You support me.,Sinusuportahan mo ako.,FSL,neutral
YOU WORRY ME,You're worried about me.,Nag-aalala ka sa akin.,FSL,neutral
AFTERNOON I SLEEP,In the afternoon I sleep.,Sa hapon natutulog ako.,FSL,time
NO I GO,No I will not go.,Hindi ako pupunta.,MIXED,common_verbs
NO I NO GO,"No, I'm not going.",Hindi ako pupunta.,FSL,common_verbs
YOU SLEEP TODAY,You sleep today.,Natutulog ka ngayon.,FSL,action
TWO,Two.,Dalawa.,MIXED,number
YOU DRINK WATER,You're drinking water.,Umiinom ka ng tubig.,FSL,object_things
YOU FIND,You'll find it.,Nakahanap ka.,FSL,neutral
SHE WALK SCHOOL,She's going to school.,Naglalakad siya papuntang paaralan.,FSL,place
YOU HAPPY SCHOOL,You're happy at school.,Masaya ka sa paaralan.,FSL,place
I PLAY FAMILY,I'm playing with my family.,Naglalaro ako kasama ang aking pamilya.,FSL,action
SEVEN HOUSE,Seven houses.,Pitong bahay.,MIXED,number
YOU COME HOME,You're coming home.,Uuwi ka.,FSL,common_verbs
YOU SAD SCHOOL FRIEND YESTERDAY,You were sad yesterday at school with your friend.,Malungkot ka sa paaralan kasama ang iyong kaibigan kahapon.,FSL,emotion
YOU WANT BLUE,You want blue.,Gusto mo ng asul.,FSL,color
I WILL GO TOMORROW,I will go tomorrow.,Pupunta ako bukas.,FSL,time
SCHOOL YOU GO TOMORROW,You go to school tomorrow.,Pupunta ka sa paaralan bukas.,ASL,place
HE LEARN,He's studying.,Natututo siya.,FSL,neutral
HE WEAR BLACK,He wears black.,Sumusuot siya ng itim.,FSL,neutral
THANKYOU MOTHER,"Thank you, Mother.",Salamat ina.,FSL,greeting
YOU KNOW,You know.,Alam mo.,FSL,neutral
I BORED,I'm bored.,Nababagot ako.,FSL,neutral
I HELP FRIEND,I'm helping my friend.,Tinutulungan ko ang aking kaibigan.,FSL,people
YOU REJECT IT,You reject it.,Tinatanggihan mo ito.,FSL,neutral
WHERE THEY GO,Where are they going?,Saan sila pupunta?,FSL,question
HE SLEEP,He's asleep.,Natutulog siya.,FSL,action
I LEAVE SCHOOL,I'm leaving school.,Umaalis ako sa paaralan.,FSL,place
I WRONG,I'm wrong.,Mali ako.,FSL,neutral
RED BLUE I LIKE,I like red and blue.,Gusto ko ng pula at asul.,ASL,color
YOU COME HOME NIGHT,You come home at night.,Umuuwi ka sa gabi.,FSL,time
YOU FEEL GOOD,You're feeling good.,Maganda ang pakiramdam mo.,FSL,neutral
I TIRED,I'm tired.,Pagod ako.,FSL,emotion
I NEED YOU,I need you.,Kailangan kita.,ASL,common_verbs
STOP TALK,Stop talking.,Tigilan ang pagsasalita.,FSL,imperative
HE STILL SLEEP,He is still sleeping.,Natutulog pa rin siya.,FSL,time
HE WILL HELP ME,He'll help me.,Tutulungan niya ako.,FSL,common_verbs
HOME I GO TODAY,I'm going home today.,Uuwi ako ngayon.,ASL,place
I HIDE IT,I hide it.,Itinatago ko ito.,FSL,neutral
YOU FEEL SICK,You feel sick.,Masama ang pakiramdam mo.,FSL,neutral
I LOVE HOME,I love home.,Mahal ko ang tahanan.,FSL,place
YOU TRY,Try it.,Sinusubukan mo.,FSL,neutral
WHY HE ANGRY,Why is he angry?,Bakit siya galit?,FSL,question
HE KEEP TRYING,He keeps trying.,Patuloy siyang sumusubok.,FSL,neutral
YOU BELIEVE,You believe it.,Naniniwala ka.,FSL,neutral
HE RUN,He's running.,Tumatakbo siya.,FSL,action
PLAY I LIKE,I like to play.,Gusto kong maglaro.,ASL,action
HEY,Hey there!,Hoy!,MIXED,greeting
SHE SAD HOME,She's sad at home.,Malungkot siya sa bahay.,FSL,place
I THANK MY MOTHER,I thank my mother.,Nagpapasalamat ako sa aking ina.,FSL,people
PHONE FIVE WE NEED,We need five phones.,Kailangan natin ng limang telepono.,ASL,number
YOU CURIOUS,You are curious.,Mausisa ka.,FSL,neutral
YOU NOT GIVE UP,You will not give up.,Hindi ka susuko.,FSL,neutral
YOU NEVER STOP,You never stop.,Hindi ka kailanman tumitigil.,FSL,neutral
YOU NEED TWO CAR,You need two cars.,Kailangan mo ng dalawang kotse.,FSL,number
I WAIT MOTHER,I'm waiting for my mother.,Hinihintay ko ang aking ina.,FSL,people
I VERY HAPPY,I'm very happy.,Napakasaya ko.,FSL,emotion
YOU WANT WALK,You want to walk.,Gusto mong maglakad.,FSL,action
YOU TEACH SOMETHING,You teach something.,Nagtuturo ka ng isang bagay.,FSL,neutral
I LIKE RUN,I like to run away.,Gusto kong tumakbo.,FSL,action
WHAT TIME WE MEET,What time do we meet?,Anong oras tayo magkikita?,FSL,question
I BUILD,I'm building.,Bumubuo ako.,FSL,neutral
THEY SCARED HOME,You're scared at home.,Takot sila sa bahay.,FSL,emotion
HE CARE ABOUT SHE,He cares about her.,Mahalaga siya sa kaniya.,FSL,neutral
MOTHER YOU MEET,You meet your mother.,Nakikita mo ang iyong ina.,ASL,people
FAMILY,Family.,Pamilya.,MIXED,people
WHY THEY LEAVE,Why do they leave?,Bakit sila umaalis?,FSL,question
I PRACTICE PLAY,I practice playing.,Nagsasanay akong maglaro.,FSL,action
WE GO WORK,We go to work.,Pupunta tayo sa trabaho.,FSL,place
FAMILY SHE LOVE,She loves her family.,Mahal niya ang kanyang pamilya.,ASL,people
I HELP MOTHER COOK FOOD HOME,I help my mother cook food at home.,Tinutulungan ko ang aking ina magluto ng pagkain sa bahay.,FSL,people
WE LOVE FAMILY,We love our family.,Mahal natin ang ating pamilya.,FSL,people
I DISAGREE,I disagree.,Hindi ako sumasang-ayon.,FSL,neutral
BOOK RED I HAVE,I have a red book.,Mayroon akong pulang libro.,ASL,color
TODAY I HAPPY,Today I'm happy.,Masaya ako ngayon.,ASL,emotion
HE BUSY,He is busy.,Abala siya.,FSL,neutral
I NOT HAPPY,I'm not happy.,Hindi ako masaya.,FSL,emotion
GO THERE NOW,Go there now.,Pumunta ka doon ngayon.,FSL,imperative
YOU PLAY ME,You're playing with me.,Naglalaro ka kasama ako.,FSL,action
TOMORROW WE WALK,We're leaving tomorrow.,Bukas maglalakad tayo.,ASL,action
I NOT GIVE UP,I will not give up.,Hindi ako susuko.,FSL,neutral
YOU GOOD FRIEND,You are a good friend.,Mabuting kaibigan ka.,ASL,common_verbs
WHAT SHE NEED,What does she need?,Ano ang kailangan niya?,FSL,question
I MEET,I'm meeting.,Nakikipagkita ako.,FSL,neutral
I SO HAPPY TODAY,I am so happy today.,Napakasaya ko ngayon.,FSL,emotion
MORNING YOU WORK,You work in the morning.,Sa umaga nagtatrabaho ka.,FSL,time
HE ANGRY SHE,He's mad at her.,Galit siya sa kaniya.,FSL,emotion
YOU RARELY ANGRY,You're rarely angry.,Bihirang galit ka.,FSL,emotion
THEY HAVE SEVEN,You have seven.,Mayroon silang pito.,FSL,number
YOU TEACH ME READ,You teach me how to read.,Tinuturuan mo akong magbasa.,FSL,action
CAR FOUR SHE HAVE,She's got four cars.,Mayroon siyang apat na kotse.,ASL,number
I EXPLAIN,I explain.,Ipinapaliwanag ko.,FSL,neutral
YOU MEET FRIEND WHERE,Where do you meet your friend?,Saan mo makikita ang iyong kaibigan?,ASL,question
PLEASE WAIT ME HERE,Please wait for me here.,Pakiusap hintayin mo ako dito.,FSL,imperative
I NEED GO HOME NOW MOTHER,I have to go home to my mother.,Kailangan kong umuwi ngayon sa aking ina.,FSL,people
YOU IMPROVE,You're improving.,Bumubuti ka.,FSL,neutral
HE SEE GREEN BOOK,He sees a green book.,Nakikita niya ang berdeng libro.,FSL,color
HE FEEL TIRED WORK,He feels tired from work.,Pagod siya sa trabaho.,FSL,emotion
I BETTER NOW,I feel better now.,Mas mabuti na ako ngayon.,FSL,emotion
I SPEAK TRUTH,I'm telling the truth.,Nagsasalita ako ng totoo.,FSL,neutral
I WANT CAR,I want a car.,Gusto ko ng kotse.,FSL,object_things
HOUSE SHE HAVE,She has a house.,Mayroon siyang bahay.,ASL,object_things
SHE BUY WATER,She's buying water.,Bumibili siya ng tubig.,FSL,object_things
I VERY HAPPY,I am very happy.,Napakasaya ko.,FSL,emotion
YOU LIKE WALK,You like to walk.,Gusto mong maglakad.,FSL,action
HE SHOULD STUDY MORE,He should learn more.,Dapat siyang mag-aral pa.,FSL,action
MOTHER,Mother.,Ina.,MIXED,people
HE GO SCHOOL WHEN,When does he go to school?,Kailan siya pumupunta sa paaralan?,ASL,question
I GO SCHOOL TODAY MORNING,I'm going to school this morning.,Pumupunta ako sa paaralan ngayong umaga.,FSL,place
MOTHER GOOD,My mother's good.,Mabuti ang aking ina.,ASL,people
I LIKE YOU FRIEND,"I like you, friend.",Gusto kita kaibigan.,ASL,common_verbs
YESTERDAY I GO STORE,Yesterday I went to the store.,Kahapon pumunta ako sa tindahan.,FSL,time
WE NEED FIVE CAR,We need five cars.,Kailangan natin ng limang kotse.,FSL,number
HE READ,He's reading.,Nagbabasa siya.,FSL,action
I CHARGE PHONE,I charge my phone.,Cinacharge ko ang aking telepono.,FSL,neutral
YOU FEEL SAD,You feel sad.,Nakakaramdam ka ng lungkot.,FSL,emotion
HE BUY,He buys.,Bumibili siya.,FSL,neutral
YOU NEED REST,You need to rest.,Kailangan mo ng pahinga.,FSL,neutral
PURPLE THING,Lila thing.,Lila na bagay.,MIXED,color
WHERE YOU GO,Where are you going?,Saan ka pupunta?,FSL,question
EIGHT FOOD,Eight groceries.,Walong pagkain.,MIXED,number
STORE,Store.,Tindahan.,MIXED,place
I CARE YOU,I care about you.,Mahalaga ka sa akin.,FSL,neutral
I FEEL SICK,I'm sick.,Masama ang pakiramdam ko.,FSL,neutral
YESTERDAY HE RUN,Yesterday he ran away.,Kahapon tumakbo siya.,ASL,action
I WISH HE HELP,I wish he'd help.,Nais kong tumulong siya.,FSL,neutral
I GO TODAY,I go today.,Pupunta ako ngayon.,FSL,time
NIGHT SHE STUDY,At night she studies.,Sa gabi nag-aaral siya.,FSL,time
YOU FEEL GOOD,You feel good.,Maganda ang pakiramdam mo.,FSL,neutral
HOME I GO TODAY,I go home today.,Uuwi ako ngayon.,ASL,place
I READ SCHOOL,I read at school.,Nagbabasa ako sa paaralan.,FSL,action
FRIEND GOOD,My friend is good.,Mabuti ang aking kaibigan.,ASL,people
HOW FAR YOU GO,How far are you going?,Gaano kalayo ka pupunta?,FSL,question
YOU NEED ME HELP YOU,You need me to help you.,Kailangan mo akong tumulong sa iyo.,FSL,common_verbs
YOU RECEIVE,You receive.,Tumatanggap ka.,FSL,neutral
YOU STILL SAD,You're still sad.,Malungkot ka pa rin.,FSL,emotion
I HAVE TEN,I have ten.,Mayroon akong sampu.,FSL,number
TOMORROW YOU READ,Tomorrow you read.,Bukas magbabasa ka.,ASL,action
SHE LIKE MOTHER,She likes her mother.,Gusto niya ang kanyang ina.,FSL,people
WE UNDERSTAND,We understand.,Naiintindihan natin.,FSL,neutral
PHONE HE HAVE,He has a phone.,Mayroon siyang telepono.,ASL,object_things
YESTERDAY NIGHT HE WORK,He worked last night.,Kagabi nagtrabaho siya.,ASL,time
I SURE ABOUT IT,I am sure about it.,Sigurado ako tungkol dito.,FSL,neutral
GOODBYE EVERYONE,Goodbye everyone.,Paalam sa inyong lahat.,FSL,greeting
YOU FIND CAR,You'll find a car.,Nakahanap ka ng kotse.,FSL,object_things
NINE WATER,Nine water.,Siyam na tubig.,MIXED,number
YOU NEED GO SCHOOL STUDY,You need to go to school to study.,Kailangan mong pumunta sa paaralan para mag-aral.,FSL,place
SHE COME STORE,She's coming to the store.,Pupupunta siya sa tindahan.,FSL,place
SHE RUN AFTERNOON,She runs in the afternoon.,Tumatakbo siya sa hapon.,FSL,action
HE COMFORTABLE HOME,He is comfortable at home.,Komportable siya sa bahay.,FSL,place
SORRY FRIEND I LATE,I'm sorry I'm late.,Pasensya na kaibigan nahuli ako.,MIXED,greeting
I SCARED,I'm scared.,Takot ako.,FSL,emotion
I GO TODAY,I'm leaving today.,Pupunta ako ngayon.,FSL,time
HE PLAY WITH FRIEND,He's playing with his friend.,Naglalaro siya kasama ang kanyang kaibigan.,FSL,people
HE CALL MOTHER WHEN,When does he call his mother?,Kailan siya tumatawag sa kanyang ina?,ASL,question
HE ANGRY NO HAPPY,"He's angry, not happy.",Galit siya hindi masaya.,MIXED,emotion
YOU SAFE AT HOME,You're safe at home.,Ligtas ka sa bahay.,FSL,place
HOW HE DO THIS,How does he do that?,Paano niya ginagawa ito?,FSL,question
WORK HE GO,He goes to work.,Pupunta siya sa trabaho.,ASL,place
THANKYOU FRIEND,Thank you friend.,Salamat kaibigan.,FSL,greeting
WE HAVE SIX,We have six.,Mayroon tayong anim.,FSL,number
SHE WRITE WHAT,What is she writing?,Ano ang sinusulat niya?,ASL,question
TOMORROW WE MEET,Tomorrow we meet.,Bukas magkikita tayo.,FSL,time
WE EXCITED MORNING,We are excited this morning.,Nasasabik tayo ngayong umaga.,FSL,emotion
SORRY I LATE,I'm sorry I'm late.,Pasensya na nahuli ako.,MIXED,greeting
I HOPE YOU COME,I hope you're coming.,Umaasa akong darating ka.,FSL,neutral
WE KNOW,We know.,Alam natin.,FSL,neutral
YOU DRINK,You are drinking.,Umiinom ka.,FSL,common_verbs
I WANT GO STORE BUY FOOD,I want to go to the store to buy food.,Gusto kong pumunta sa tindahan para bumili ng pagkain.,FSL,place
SHE GOOD MOTHER,She is a good mother.,Mabuting ina siya.,ASL,common_verbs
SHE HAVE YELLOW HOUSE,She has a yellow house.,Mayroon siyang dilaw na bahay.,FSL,color
WHO FRIEND YOU MEET,What friend are you seeing?,Alin kaibigan ang makikita mo?,FSL,question
WE MEET,I'll meet you.,Nakikipagkita tayo.,FSL,neutral
YOU LOVE READ,You love reading.,Mahal mong magbasa.,FSL,action
WHEN SHE STUDY,When does she study?,Kailan siya nag-aaral?,FSL,question
YOU RUN,You are running.,Tumatakbo ka.,FSL,common_verbs
I NEVER STOP,I'll never stop.,Hindi ako kailanman tumitigil.,FSL,neutral
DO THIS,Do it.,Gawin mo ito.,FSL,imperative
I LIKE SCHOOL,I like school.,Gusto ko ang paaralan.,FSL,place
FOUR CAR,Four cars.,Apat na kotse.,MIXED,number
YOU RESPECT ME,You respect me.,Rinerespeto mo ako.,FSL,neutral
WE NO EXCITED,We are not excited.,Hindi tayo nasasabik.,FSL,emotion
HE CLEAN,He cleans.,Naglilinis siya.,FSL,neutral
WE PLAY,We play.,Naglalaro tayo.,FSL,action
I MEET MOTHER,I'm meeting my mother.,Nakikita ko ang aking ina.,FSL,people
I FINISH,I finish.,Natapos ako.,FSL,neutral
THEY COME HERE,They're coming here.,Pumupunta sila dito.,FSL,common_verbs
WHAT WE DO,What do we do?,Ano ang gagawin natin?,FSL,question
YOU READY,You are ready.,Handa ka.,FSL,neutral
I WANT YOU HELP ME,I want you to help me.,Gusto kitang tulungan ako.,FSL,common_verbs
I RUN FAST,I'm running fast.,Tumatakbo ako ng mabilis.,FSL,action
SHE STUDY,She's studying.,Nag-aaral siya.,FSL,neutral
HOME I PLAY,I play at home.,Naglalaro ako sa bahay.,ASL,action
YOU KNOW EVERYTHING,You know everything.,Alam mo ang lahat.,FSL,neutral
I CONTINUE WALK,I continue walking.,Nagpapatuloy akong maglakad.,FSL,action
HE NEED SLEEP REST HOME,He needs to sleep and rest at home.,Kailangan niyang matulog at magpahinga sa bahay.,FSL,action
I CLEAN,I'm clean.,Naglilinis ako.,FSL,neutral
HE NOT TIRED,He's not tired.,Hindi siya pagod.,FSL,emotion
I LEAVE SCHOOL,I leave school.,Umaalis ako sa paaralan.,FSL,place
I LEAVE,I'm leaving.,Umaalis ako.,FSL,neutral
I HAVE ONE FRIEND,I have a friend.,Mayroon akong isang kaibigan.,FSL,number
I NEAR HOME,I'm close to home.,Malapit ako sa bahay.,FSL,place
THEY,They.,Sila.,MIXED,people
YOU SLEEP HOME,You're sleeping at home.,Natutulog ka sa bahay.,FSL,action
THEY FIND WATER,They find water.,Nakahanap sila ng tubig.,FSL,object_things
WHO HE CALL,Who does he call?,Sino ang tinatawag niya?,FSL,question
HE NEED WHAT,What does he need?,Ano ang kailangan niya?,ASL,question
I EXCITED,I'm excited.,Nasasabik ako.,FSL,emotion
GREEN YELLOW YOU LIKE,You like green and yellow.,Gusto mo ng berde at dilaw.,ASL,color
GIVE ME,Give me.,Bigyan mo ako.,FSL,imperative
I DOUBT IT,I doubt that.,Duda ako dito.,FSL,neutral
I RUN FARM,I'm walking on the farm.,Tumatakbo ako sa bukid.,FSL,action
I REMEMBER,I remember.,Naaalala ko.,FSL,neutral
I NOT SURE,I'm not sure.,Hindi ako sigurado.,FSL,neutral
HE GO WHERE,Where is he going?,Saan siya pupunta?,ASL,question
I PLAY TODAY,I play today.,Naglalaro ako ngayon.,FSL,action
I LEAVE HOME,I leave home.,Umaalis ako sa bahay.,FSL,place
I SAY YES,I say yes.,Sinasabi kong oo.,FSL,neutral
YOU CARE ME,You're interested in me.,Mahalaga ako sa iyo.,FSL,neutral
HE ENJOY READ,He enjoys reading.,Nag-eenjoy siyang magbasa.,FSL,action
YOU WORSE NOW,You're worse now.,Mas masama ka ngayon.,FSL,emotion
BRING THIS,Bring this.,Dalhin mo ito.,FSL,imperative
NIGHT I HOME,I'll be home at night.,Sa gabi nasa bahay ako.,FSL,time
YOU RETURN,You return.,Bumabalik ka.,FSL,neutral
WHERE YOU WORK,Where do you work?,Saan ka nagtatrabaho?,FSL,question
I NOT HAPPY,I am not happy.,Hindi ako masaya.,FSL,emotion
SHE NO HAVE,She didn't.,Wala siya.,FSL,neutral
PLEASE WAIT ME,Please wait for me.,Pakiusap hintayin mo ako.,FSL,imperative
WE LIKE CAR,We like cars.,Gusto natin ng kotse.,FSL,object_things
BLACK WHITE HE LIKE,He likes black and white.,Gusto niya ng itim at puti.,ASL,color
I MEET MOTHER,I meet my mother.,Nakikita ko ang aking ina.,FSL,people
I HELP MOTHER,I help my mother.,Tinutulungan ko ang aking ina.,FSL,people
I TELL,I'm saying it.,Sinasabi ko.,FSL,neutral
THEY HAVE SIX FOOD,They have six foods.,Mayroon silang anim na pagkain.,FSL,number
HE PROMISE SHE,He promises her.,Nangangako siya sa kaniya.,FSL,neutral
PLEASE COME,Please come.,Pakiusap pumunta ka.,FSL,imperative
HOW SHE COOK FOOD,How does she cook food?,Paano niya niluluto ang pagkain?,FSL,question
YOU LIKE RED MORE,You like red more.,Mas gusto mo ang pula.,FSL,color
HE ALREADY LEAVE,He's already gone.,Umalis na siya.,FSL,time
LOOK HERE,Look at this.,Tingnan mo dito.,FSL,imperative
HE LOVE SHE,He loves her.,Mahal niya siya.,ASL,common_verbs
WHAT TIME THEY COME,What time do they come?,Anong oras sila darating?,FSL,question
NO HE NO HELP,No he will not help.,Hindi siya tutulong.,FSL,common_verbs
HE FIND PHONE,He finds a phone.,Nakahanap siya ng telepono.,FSL,object_things
YOU LIKE FOOD,You like food.,Gusto mo ng pagkain.,FSL,object_things
HE SHOULD STUDY SCHOOL,He should study at school.,Dapat siyang mag-aral sa paaralan.,FSL,place
WE PLAY,We're playing.,Naglalaro tayo.,FSL,action
I SO HAPPY TODAY,I'm so happy today.,Napakasaya ko ngayon.,FSL,emotion
YOU AT STORE,You're in the store.,Nasa tindahan ka.,FSL,place
LEAVE NOW,Go now.,Umalis ka ngayon.,FSL,imperative
WE MEET TODAY NIGHT,We meet tonight.,Magkikita tayo ngayong gabi.,FSL,time
THEY WRITE,They write.,Sumusulat sila.,FSL,action
PLEASE YOU HELP ME,Please help me.,Pakiusap tulungan mo ako.,FSL,imperative
THREE PERSON,Three people.,Tatlong tao.,MIXED,number
TOMORROW YOU COME,Tomorrow you're coming.,Bukas darating ka.,ASL,time
CAR FOUR SHE HAVE,She has four cars.,Mayroon siyang apat na kotse.,ASL,number
YOU COME SCHOOL TOMORROW,You come to school tomorrow.,Pupunta ka sa paaralan bukas.,FSL,common_verbs
ONE PERSON,One person.,Isang tao.,MIXED,number
COME HERE NOW,Come here now.,Halika dito ngayon.,FSL,imperative
I GO STORE,I go to the store.,Pupunta ako sa tindahan.,FSL,place
SHE WRITE,She writes.,Sumusulat siya.,FSL,action
EIGHT FOOD,Eight foods.,Walong pagkain.,MIXED,number
PLEASE HELP ME NOW,Please help me now.,Pakiusap tulungan mo ako ngayon.,FSL,imperative
